Indicator_data,case_id,First Tooltip
Life expectancy at birth (years),"Egypt,2000,Male",67.29
Life expectancy at birth (years),"Egypt,2000,Female",72.42
Life expectancy at birth (years),"El Salvador,2015,Both sexes",73.25
Life expectancy at birth (years),"El Salvador,2015,Male",68.12
Life expectancy at birth (years),"El Salvador,2015,Female",78.02
Life expectancy at birth (years),"El Salvador,2010,Both sexes",74.5
Life expectancy at birth (years),"El Salvador,2010,Male",70.62
Life expectancy at birth (years),"El Salvador,2010,Female",78.04
Life expectancy at birth (years),"El Salvador,2000,Both sexes",72.5
Life expectancy at birth (years),"El Salvador,2000,Male",68.39
Life expectancy at birth (years),"El Salvador,2000,Female",76.48
Life expectancy at birth (years),"Equatorial Guinea,2015,Both sexes",61.13
Life expectancy at birth (years),"Equatorial Guinea,2015,Male",60.28
Life expectancy at birth (years),"Equatorial Guinea,2015,Female",61.83
Life expectancy at birth (years),"Equatorial Guinea,2010,Both sexes",59.65
Life expectancy at birth (years),"Equatorial Guinea,2010,Male",59.75
Life expectancy at birth (years),"Equatorial Guinea,2010,Female",59.12
Life expectancy at birth (years),"Equatorial Guinea,2000,Both sexes",54.31
Life expectancy at birth (years),"Equatorial Guinea,2000,Male",52.37
Life expectancy at birth (years),"Equatorial Guinea,2000,Female",56.49
Life expectancy at birth (years),"Eritrea,2015,Both sexes",62.29
Life expectancy at birth (years),"Eritrea,2015,Male",59.4
Life expectancy at birth (years),"Eritrea,2015,Female",65.45
Life expectancy at birth (years),"Eritrea,2010,Both sexes",60.7
Life expectancy at birth (years),"Eritrea,2010,Male",57.78
Life expectancy at birth (years),"Eritrea,2010,Female",63.97
Life expectancy at birth (years),"Eritrea,2000,Both sexes",54.51
Life expectancy at birth (years),"Eritrea,2000,Male",51.16
Life expectancy at birth (years),"Eritrea,2000,Female",58.48
Life expectancy at birth (years),"Estonia,2015,Both sexes",77.6
Life expectancy at birth (years),"Estonia,2015,Male",73.03
Life expectancy at birth (years),"Estonia,2015,Female",81.71
Life expectancy at birth (years),"Estonia,2010,Both sexes",75.87
Life expectancy at birth (years),"Estonia,2010,Male",70.86
Life expectancy at birth (years),"Estonia,2010,Female",80.45
Life expectancy at birth (years),"Estonia,2000,Both sexes",70.94
Life expectancy at birth (years),"Estonia,2000,Male",65.6
Life expectancy at birth (years),"Estonia,2000,Female",76.17
Life expectancy at birth (years),"Eswatini,2015,Both sexes",54.05
Life expectancy at birth (years),"Eswatini,2015,Male",50.25
Life expectancy at birth (years),"Eswatini,2015,Female",58.71
Life expectancy at birth (years),"Eswatini,2010,Both sexes",47.43
Life expectancy at birth (years),"Eswatini,2010,Male",44.86
Life expectancy at birth (years),"Eswatini,2010,Female",50.76
Life expectancy at birth (years),"Eswatini,2000,Both sexes",47.05
Life expectancy at birth (years),"Eswatini,2000,Male",44.81
Life expectancy at birth (years),"Eswatini,2000,Female",49.44
Life expectancy at birth (years),"Ethiopia,2015,Both sexes",66.82
Life expectancy at birth (years),"Ethiopia,2015,Male",65.04
Life expectancy at birth (years),"Ethiopia,2015,Female",68.64
Life expectancy at birth (years),"Ethiopia,2010,Both sexes",62.92
Life expectancy at birth (years),"Ethiopia,2010,Male",61.33
Life expectancy at birth (years),"Ethiopia,2010,Female",64.55
Life expectancy at birth (years),"Ethiopia,2000,Both sexes",50.58
Life expectancy at birth (years),"Ethiopia,2000,Male",49.52
Life expectancy at birth (years),"Ethiopia,2000,Female",51.7
Life expectancy at birth (years),"Fiji,2015,Both sexes",67.83
Life expectancy at birth (years),"Fiji,2015,Male",65.77
Life expectancy at birth (years),"Fiji,2015,Female",70.08
Life expectancy at birth (years),"Fiji,2010,Both sexes",67.6
Life expectancy at birth (years),"Fiji,2010,Male",65.86
Life expectancy at birth (years),"Fiji,2010,Female",69.52
Life expectancy at birth (years),"Fiji,2000,Both sexes",65.9
Life expectancy at birth (years),"Fiji,2000,Male",63.69
Life expectancy at birth (years),"Fiji,2000,Female",68.43
Life expectancy at birth (years),"Finland,2015,Both sexes",81.21
Life expectancy at birth (years),"Finland,2015,Male",78.53
Life expectancy at birth (years),"Finland,2015,Female",83.85
Life expectancy at birth (years),"Finland,2010,Both sexes",79.88
Life expectancy at birth (years),"Finland,2010,Male",76.68
Life expectancy at birth (years),"Finland,2010,Female",83.04
Life expectancy at birth (years),"Finland,2000,Both sexes",77.6
Life expectancy at birth (years),"Finland,2000,Male",74.13
Life expectancy at birth (years),"Finland,2000,Female",80.91
Life expectancy at birth (years),"France,2015,Both sexes",81.91
Life expectancy at birth (years),"France,2015,Male",78.99
Life expectancy at birth (years),"France,2015,Female",84.72
Life expectancy at birth (years),"France,2010,Both sexes",81.22
Life expectancy at birth (years),"France,2010,Male",77.96
Life expectancy at birth (years),"France,2010,Female",84.34
Life expectancy at birth (years),"France,2000,Both sexes",78.91
Life expectancy at birth (years),"France,2000,Male",75.24
Life expectancy at birth (years),"France,2000,Female",82.52
Life expectancy at birth (years),"Gabon,2015,Both sexes",64.93
Life expectancy at birth (years),"Gabon,2015,Male",62.11
Life expectancy at birth (years),"Gabon,2015,Female",68.09
Life expectancy at birth (years),"Gabon,2010,Both sexes",62.16
Life expectancy at birth (years),"Gabon,2010,Male",60.12
Life expectancy at birth (years),"Gabon,2010,Female",64.25
Life expectancy at birth (years),"Gabon,2000,Both sexes",58.1
Life expectancy at birth (years),"Gabon,2000,Male",56.15
Life expectancy at birth (years),"Gabon,2000,Female",60.1
Life expectancy at birth (years),"Gambia,2015,Both sexes",64.14
Life expectancy at birth (years),"Gambia,2015,Male",62.18
Life expectancy at birth (years),"Gambia,2015,Female",66.28
Life expectancy at birth (years),"Gambia,2010,Both sexes",62.42
Life expectancy at birth (years),"Gambia,2010,Male",60.59
Life expectancy at birth (years),"Gambia,2010,Female",64.47
Life expectancy at birth (years),"Gambia,2000,Both sexes",59.24
Life expectancy at birth (years),"Gambia,2000,Male",57.17
Life expectancy at birth (years),"Gambia,2000,Female",61.63
Life expectancy at birth (years),"Georgia,2015,Both sexes",72.58
Life expectancy at birth (years),"Georgia,2015,Male",68.24
Life expectancy at birth (years),"Georgia,2015,Female",76.93
Life expectancy at birth (years),"Georgia,2010,Both sexes",71.87
Life expectancy at birth (years),"Georgia,2010,Male",67.44
Life expectancy at birth (years),"Georgia,2010,Female",76.3
Life expectancy at birth (years),"Georgia,2000,Both sexes",69.41
Life expectancy at birth (years),"Georgia,2000,Male",65.58
Life expectancy at birth (years),"Georgia,2000,Female",73.14
Life expectancy at birth (years),"Germany,2015,Both sexes",80.42
Life expectancy at birth (years),"Germany,2015,Male",78.12
Life expectancy at birth (years),"Germany,2015,Female",82.71
Life expectancy at birth (years),"Germany,2010,Both sexes",80.17
Life expectancy at birth (years),"Germany,2010,Male",77.78
Life expectancy at birth (years),"Germany,2010,Female",82.54
Life expectancy at birth (years),"Germany,2000,Both sexes",78.09
Life expectancy at birth (years),"Germany,2000,Male",75.04
Life expectancy at birth (years),"Germany,2000,Female",80.92
Life expectancy at birth (years),"Ghana,2015,Both sexes",64.55
Life expectancy at birth (years),"Ghana,2015,Male",61.97
Life expectancy at birth (years),"Ghana,2015,Female",67.41
Life expectancy at birth (years),"Ghana,2010,Both sexes",62
Life expectancy at birth (years),"Ghana,2010,Male",59.7
Life expectancy at birth (years),"Ghana,2010,Female",64.53
Life expectancy at birth (years),"Ghana,2000,Both sexes",59.24
Life expectancy at birth (years),"Ghana,2000,Male",57.75
Life expectancy at birth (years),"Ghana,2000,Female",60.8
Life expectancy at birth (years),"Greece,2015,Both sexes",80.38
Life expectancy at birth (years),"Greece,2015,Male",77.85
Life expectancy at birth (years),"Greece,2015,Female",82.94
Life expectancy at birth (years),"Greece,2010,Both sexes",80.1
Life expectancy at birth (years),"Greece,2010,Male",77.52
Life expectancy at birth (years),"Greece,2010,Female",82.71
Life expectancy at birth (years),"Greece,2000,Both sexes",78.17
Life expectancy at birth (years),"Greece,2000,Male",75.51
Life expectancy at birth (years),"Greece,2000,Female",80.89
Life expectancy at birth (years),"Grenada,2015,Both sexes",72.7
Life expectancy at birth (years),"Grenada,2015,Male",70.44
Life expectancy at birth (years),"Grenada,2015,Female",75.15
Life expectancy at birth (years),"Grenada,2010,Both sexes",71.97
Life expectancy at birth (years),"Grenada,2010,Male",69.2
Life expectancy at birth (years),"Grenada,2010,Female",75.48
Life expectancy at birth (years),"Grenada,2000,Both sexes",71.97
Life expectancy at birth (years),"Grenada,2000,Male",68.6
Life expectancy at birth (years),"Grenada,2000,Female",75.95
Life expectancy at birth (years),"Guatemala,2015,Both sexes",70.95
Life expectancy at birth (years),"Guatemala,2015,Male",67.85
Life expectancy at birth (years),"Guatemala,2015,Female",74.01
Life expectancy at birth (years),"Guatemala,2010,Both sexes",69.3
Life expectancy at birth (years),"Guatemala,2010,Male",65.82
Life expectancy at birth (years),"Guatemala,2010,Female",72.77
Life expectancy at birth (years),"Guatemala,2000,Both sexes",66.78
Life expectancy at birth (years),"Guatemala,2000,Male",63.32
Life expectancy at birth (years),"Guatemala,2000,Female",70.27
Life expectancy at birth (years),"Guinea,2015,Both sexes",58.81
Life expectancy at birth (years),"Guinea,2015,Male",57.28
Life expectancy at birth (years),"Guinea,2015,Female",60.07
Life expectancy at birth (years),"Guinea,2010,Both sexes",58.07
Life expectancy at birth (years),"Guinea,2010,Male",56.65
Life expectancy at birth (years),"Guinea,2010,Female",59.26
Life expectancy at birth (years),"Guinea,2000,Both sexes",54.26
Life expectancy at birth (years),"Guinea,2000,Male",53.1
Life expectancy at birth (years),"Guinea,2000,Female",55.3
Life expectancy at birth (years),"Guinea-Bissau,2015,Both sexes",58.23
Life expectancy at birth (years),"Guinea-Bissau,2015,Male",55.53
Life expectancy at birth (years),"Guinea-Bissau,2015,Female",60.81
Life expectancy at birth (years),"Guinea-Bissau,2010,Both sexes",55.43
Life expectancy at birth (years),"Guinea-Bissau,2010,Male",53.05
Life expectancy at birth (years),"Guinea-Bissau,2010,Female",57.68
Life expectancy at birth (years),"Guinea-Bissau,2000,Both sexes",50.28
Life expectancy at birth (years),"Guinea-Bissau,2000,Male",47.77
Life expectancy at birth (years),"Guinea-Bissau,2000,Female",52.76
Life expectancy at birth (years),"Guyana,2015,Both sexes",65.59
Life expectancy at birth (years),"Guyana,2015,Male",62.31
Life expectancy at birth (years),"Guyana,2015,Female",69.22
Life expectancy at birth (years),"Guyana,2010,Both sexes",64.77
Life expectancy at birth (years),"Guyana,2010,Male",61.63
Life expectancy at birth (years),"Guyana,2010,Female",68.23
Life expectancy at birth (years),"Guyana,2000,Both sexes",62.96
Life expectancy at birth (years),"Guyana,2000,Male",59.81
Life expectancy at birth (years),"Guyana,2000,Female",66.51
Life expectancy at birth (years),"Haiti,2015,Both sexes",62.61
Life expectancy at birth (years),"Haiti,2015,Male",62.09
Life expectancy at birth (years),"Haiti,2015,Female",63.13
Life expectancy at birth (years),"Haiti,2010,Both sexes",31.28
Life expectancy at birth (years),"Haiti,2010,Male",27.97
Life expectancy at birth (years),"Haiti,2010,Female",35.37
Life expectancy at birth (years),"Haiti,2000,Both sexes",57.05
Life expectancy at birth (years),"Haiti,2000,Male",56.97
Life expectancy at birth (years),"Haiti,2000,Female",57.18
Life expectancy at birth (years),"Honduras,2015,Both sexes",69.82
Life expectancy at birth (years),"Honduras,2015,Male",67.57
Life expectancy at birth (years),"Honduras,2015,Female",72.13
Life expectancy at birth (years),"Honduras,2010,Both sexes",71.15
Life expectancy at birth (years),"Honduras,2010,Male",70.24
Life expectancy at birth (years),"Honduras,2010,Female",72.11
Life expectancy at birth (years),"Honduras,2000,Both sexes",70.04
Life expectancy at birth (years),"Honduras,2000,Male",69.1
Life expectancy at birth (years),"Honduras,2000,Female",71.02
Life expectancy at birth (years),"Hungary,2015,Both sexes",75.57
Life expectancy at birth (years),"Hungary,2015,Male",72.16
Life expectancy at birth (years),"Hungary,2015,Female",78.73
Life expectancy at birth (years),"Hungary,2010,Both sexes",74.58
Life expectancy at birth (years),"Hungary,2010,Male",70.63
Life expectancy at birth (years),"Hungary,2010,Female",78.35
Life expectancy at birth (years),"Hungary,2000,Both sexes",71.34
Life expectancy at birth (years),"Hungary,2000,Male",67.07
Life expectancy at birth (years),"Hungary,2000,Female",75.63
Life expectancy at birth (years),"Iceland,2015,Both sexes",82.14
Life expectancy at birth (years),"Iceland,2015,Male",80.69
Life expectancy at birth (years),"Iceland,2015,Female",83.56
Life expectancy at birth (years),"Iceland,2010,Both sexes",81.68
Life expectancy at birth (years),"Iceland,2010,Male",80.02
Life expectancy at birth (years),"Iceland,2010,Female",83.34
Life expectancy at birth (years),"Iceland,2000,Both sexes",79.7
Life expectancy at birth (years),"Iceland,2000,Male",77.74
Life expectancy at birth (years),"Iceland,2000,Female",81.64
Life expectancy at birth (years),"India,2015,Both sexes",69.31
Life expectancy at birth (years),"India,2015,Male",68.11
Life expectancy at birth (years),"India,2015,Female",70.62
Life expectancy at birth (years),"India,2010,Both sexes",67.23
Life expectancy at birth (years),"India,2010,Male",65.69
Life expectancy at birth (years),"India,2010,Female",68.94
Life expectancy at birth (years),"India,2000,Both sexes",62.11
Life expectancy at birth (years),"India,2000,Male",61.34
Life expectancy at birth (years),"India,2000,Female",62.92
Life expectancy at birth (years),"Indonesia,2015,Both sexes",70.61
Life expectancy at birth (years),"Indonesia,2015,Male",68.77
Life expectancy at birth (years),"Indonesia,2015,Female",72.5
Life expectancy at birth (years),"Indonesia,2010,Both sexes",69.26
Life expectancy at birth (years),"Indonesia,2010,Male",67.53
Life expectancy at birth (years),"Indonesia,2010,Female",71.03
Life expectancy at birth (years),"Indonesia,2000,Both sexes",67.17
Life expectancy at birth (years),"Indonesia,2000,Male",65.77
Life expectancy at birth (years),"Indonesia,2000,Female",68.55
Life expectancy at birth (years),"Iran (Islamic Republic of),2015,Both sexes",76.66
Life expectancy at birth (years),"Iran (Islamic Republic of),2015,Male",74.96
Life expectancy at birth (years),"Iran (Islamic Republic of),2015,Female",78.52
Life expectancy at birth (years),"Iran (Islamic Republic of),2010,Both sexes",75.86
Life expectancy at birth (years),"Iran (Islamic Republic of),2010,Male",73.87
Life expectancy at birth (years),"Iran (Islamic Republic of),2010,Female",78.01
Life expectancy at birth (years),"Iran (Islamic Republic of),2000,Both sexes",72.56
Life expectancy at birth (years),"Iran (Islamic Republic of),2000,Male",70.73
Life expectancy at birth (years),"Iran (Islamic Republic of),2000,Female",74.61
Life expectancy at birth (years),"Iraq,2015,Both sexes",70.29
Life expectancy at birth (years),"Iraq,2015,Male",67.32
Life expectancy at birth (years),"Iraq,2015,Female",73.41
Life expectancy at birth (years),"Iraq,2010,Both sexes",70.24
Life expectancy at birth (years),"Iraq,2010,Male",67.76
Life expectancy at birth (years),"Iraq,2010,Female",72.79
Life expectancy at birth (years),"Iraq,2000,Both sexes",68.77
Life expectancy at birth (years),"Iraq,2000,Male",66.43
Life expectancy at birth (years),"Iraq,2000,Female",71.25
Life expectancy at birth (years),"Ireland,2015,Both sexes",81.14
Life expectancy at birth (years),"Ireland,2015,Male",79.33
Life expectancy at birth (years),"Ireland,2015,Female",82.93
Life expectancy at birth (years),"Ireland,2010,Both sexes",80.41
Life expectancy at birth (years),"Ireland,2010,Male",78.33
Life expectancy at birth (years),"Ireland,2010,Female",82.44
Life expectancy at birth (years),"Ireland,2000,Both sexes",76.41
Life expectancy at birth (years),"Ireland,2000,Male",73.84
Life expectancy at birth (years),"Ireland,2000,Female",79.02
Life expectancy at birth (years),"Israel,2015,Both sexes",81.93
Life expectancy at birth (years),"Israel,2015,Male",79.96
Life expectancy at birth (years),"Israel,2015,Female",83.79
Life expectancy at birth (years),"Israel,2010,Both sexes",81.56
Life expectancy at birth (years),"Israel,2010,Male",79.62
Life expectancy at birth (years),"Israel,2010,Female",83.34
Life expectancy at birth (years),"Israel,2000,Both sexes",78.57
Life expectancy at birth (years),"Israel,2000,Male",76.36
Life expectancy at birth (years),"Israel,2000,Female",80.66
Life expectancy at birth (years),"Italy,2015,Both sexes",82.21
Life expectancy at birth (years),"Italy,2015,Male",80
Life expectancy at birth (years),"Italy,2015,Female",84.26
Life expectancy at birth (years),"Italy,2010,Both sexes",81.9
Life expectancy at birth (years),"Italy,2010,Male",79.37
Life expectancy at birth (years),"Italy,2010,Female",84.22
Life expectancy at birth (years),"Italy,2000,Both sexes",79.36
Life expectancy at birth (years),"Italy,2000,Male",76.41
Life expectancy at birth (years),"Italy,2000,Female",82.15
Life expectancy at birth (years),"Jamaica,2015,Both sexes",75.85
Life expectancy at birth (years),"Jamaica,2015,Male",74.1
Life expectancy at birth (years),"Jamaica,2015,Female",77.71
Life expectancy at birth (years),"Jamaica,2010,Both sexes",75.77
Life expectancy at birth (years),"Jamaica,2010,Male",73.27
Life expectancy at birth (years),"Jamaica,2010,Female",78.51
Life expectancy at birth (years),"Jamaica,2000,Both sexes",74.22
Life expectancy at birth (years),"Jamaica,2000,Male",72.05
Life expectancy at birth (years),"Jamaica,2000,Female",76.5
Life expectancy at birth (years),"Japan,2015,Both sexes",83.62
Life expectancy at birth (years),"Japan,2015,Male",80.7
Life expectancy at birth (years),"Japan,2015,Female",86.41
Life expectancy at birth (years),"Japan,2010,Both sexes",82.68
Life expectancy at birth (years),"Japan,2010,Male",79.46
Life expectancy at birth (years),"Japan,2010,Female",85.77
Life expectancy at birth (years),"Japan,2000,Both sexes",81.12
Life expectancy at birth (years),"Japan,2000,Male",77.69
Life expectancy at birth (years),"Japan,2000,Female",84.37
Life expectancy at birth (years),"Jordan,2015,Both sexes",77.82
Life expectancy at birth (years),"Jordan,2015,Male",76.95
Life expectancy at birth (years),"Jordan,2015,Female",78.77
Life expectancy at birth (years),"Jordan,2010,Both sexes",76.59
Life expectancy at birth (years),"Jordan,2010,Male",75.59
Life expectancy at birth (years),"Jordan,2010,Female",77.62
Life expectancy at birth (years),"Jordan,2000,Both sexes",72.65
Life expectancy at birth (years),"Jordan,2000,Male",73.06
Life expectancy at birth (years),"Jordan,2000,Female",72.48
Life expectancy at birth (years),"Kazakhstan,2015,Both sexes",71.91
Life expectancy at birth (years),"Kazakhstan,2015,Male",67.43
Life expectancy at birth (years),"Kazakhstan,2015,Female",76.22
Life expectancy at birth (years),"Kazakhstan,2010,Both sexes",68.43
Life expectancy at birth (years),"Kazakhstan,2010,Male",63.58
Life expectancy at birth (years),"Kazakhstan,2010,Female",73.39
Life expectancy at birth (years),"Kazakhstan,2000,Both sexes",63.15
Life expectancy at birth (years),"Kazakhstan,2000,Male",57.58
Life expectancy at birth (years),"Kazakhstan,2000,Female",69.15
Life expectancy at birth (years),"Kenya,2015,Both sexes",64.17
Life expectancy at birth (years),"Kenya,2015,Male",61.71
Life expectancy at birth (years),"Kenya,2015,Female",66.62
Life expectancy at birth (years),"Kenya,2010,Both sexes",61.18
Life expectancy at birth (years),"Kenya,2010,Male",59.23
Life expectancy at birth (years),"Kenya,2010,Female",63.07
Life expectancy at birth (years),"Kenya,2000,Both sexes",53.87
Life expectancy at birth (years),"Kenya,2000,Male",52.85
Life expectancy at birth (years),"Kenya,2000,Female",54.91
Life expectancy at birth (years),"Kiribati,2015,Both sexes",58.2
Life expectancy at birth (years),"Kiribati,2015,Male",55.13
Life expectancy at birth (years),"Kiribati,2015,Female",61.37
Life expectancy at birth (years),"Kiribati,2010,Both sexes",58.01
Life expectancy at birth (years),"Kiribati,2010,Male",54.75
Life expectancy at birth (years),"Kiribati,2010,Female",61.39
Life expectancy at birth (years),"Kiribati,2000,Both sexes",55.73
Life expectancy at birth (years),"Kiribati,2000,Male",52.31
Life expectancy at birth (years),"Kiribati,2000,Female",59.4
Life expectancy at birth (years),"Kuwait,2015,Both sexes",81.13
Life expectancy at birth (years),"Kuwait,2015,Male",79.46
Life expectancy at birth (years),"Kuwait,2015,Female",83.84
Life expectancy at birth (years),"Kuwait,2010,Both sexes",79.83
Life expectancy at birth (years),"Kuwait,2010,Male",78.76
Life expectancy at birth (years),"Kuwait,2010,Female",81.43
Life expectancy at birth (years),"Kuwait,2000,Both sexes",77.86
Life expectancy at birth (years),"Kuwait,2000,Male",76.36
Life expectancy at birth (years),"Kuwait,2000,Female",80.1
Life expectancy at birth (years),"Kyrgyzstan,2015,Both sexes",71.59
Life expectancy at birth (years),"Kyrgyzstan,2015,Male",67.92
Life expectancy at birth (years),"Kyrgyzstan,2015,Female",75.28
Life expectancy at birth (years),"Kyrgyzstan,2010,Both sexes",69.17
Life expectancy at birth (years),"Kyrgyzstan,2010,Male",65.2
Life expectancy at birth (years),"Kyrgyzstan,2010,Female",73.29
Life expectancy at birth (years),"Kyrgyzstan,2000,Both sexes",65.95
Life expectancy at birth (years),"Kyrgyzstan,2000,Male",61.95
Life expectancy at birth (years),"Kyrgyzstan,2000,Female",70.18
Life expectancy at birth (years),"Lao People's Democratic Republic,2015,Both sexes",67.08
Life expectancy at birth (years),"Lao People's Democratic Republic,2015,Male",64.7
Life expectancy at birth (years),"Lao People's Democratic Republic,2015,Female",69.56
Life expectancy at birth (years),"Lao People's Democratic Republic,2010,Both sexes",64.88
Life expectancy at birth (years),"Lao People's Democratic Republic,2010,Male",62.44
Life expectancy at birth (years),"Lao People's Democratic Republic,2010,Female",67.38
Life expectancy at birth (years),"Lao People's Democratic Republic,2000,Both sexes",58.41
Life expectancy at birth (years),"Lao People's Democratic Republic,2000,Male",56.28
Life expectancy at birth (years),"Lao People's Democratic Republic,2000,Female",60.6
Life expectancy at birth (years),"Latvia,2015,Both sexes",74.8
Life expectancy at birth (years),"Latvia,2015,Male",69.93
Life expectancy at birth (years),"Latvia,2015,Female",79.29
Life expectancy at birth (years),"Latvia,2010,Both sexes",72.94
Life expectancy at birth (years),"Latvia,2010,Male",67.76
Life expectancy at birth (years),"Latvia,2010,Female",77.78
Life expectancy at birth (years),"Latvia,2000,Both sexes",70.18
Life expectancy at birth (years),"Latvia,2000,Male",64.61
Life expectancy at birth (years),"Latvia,2000,Female",75.56
Life expectancy at birth (years),"Lebanon,2015,Both sexes",75.98
Life expectancy at birth (years),"Lebanon,2015,Male",73.47
Life expectancy at birth (years),"Lebanon,2015,Female",78.82
Life expectancy at birth (years),"Lebanon,2010,Both sexes",75.53
Life expectancy at birth (years),"Lebanon,2010,Male",73.26
Life expectancy at birth (years),"Lebanon,2010,Female",78.12
Life expectancy at birth (years),"Lebanon,2000,Both sexes",74.61
Life expectancy at birth (years),"Lebanon,2000,Male",73.03
Life expectancy at birth (years),"Lebanon,2000,Female",76.14
Life expectancy at birth (years),"Lesotho,2015,Both sexes",47.67
Life expectancy at birth (years),"Lesotho,2015,Male",45.07
Life expectancy at birth (years),"Lesotho,2015,Female",50.58
Life expectancy at birth (years),"Lesotho,2010,Both sexes",47.38
Life expectancy at birth (years),"Lesotho,2010,Male",44.5
Life expectancy at birth (years),"Lesotho,2010,Female",50.69
Life expectancy at birth (years),"Lesotho,2000,Both sexes",47.82
Life expectancy at birth (years),"Lesotho,2000,Male",45.53
Life expectancy at birth (years),"Lesotho,2000,Female",50.68
Life expectancy at birth (years),"Liberia,2015,Both sexes",61.17
Life expectancy at birth (years),"Liberia,2015,Male",60.65
Life expectancy at birth (years),"Liberia,2015,Female",61.68
Life expectancy at birth (years),"Liberia,2010,Both sexes",60.7
Life expectancy at birth (years),"Liberia,2010,Male",60.07
Life expectancy at birth (years),"Liberia,2010,Female",61.32
Life expectancy at birth (years),"Liberia,2000,Both sexes",53.77
Life expectancy at birth (years),"Liberia,2000,Male",52.89
Life expectancy at birth (years),"Liberia,2000,Female",54.67
Life expectancy at birth (years),"Libya,2015,Both sexes",74.6
Life expectancy at birth (years),"Libya,2015,Male",72.39
Life expectancy at birth (years),"Libya,2015,Female",76.9
Life expectancy at birth (years),"Libya,2010,Both sexes",76.04
Life expectancy at birth (years),"Libya,2010,Male",74.79
Life expectancy at birth (years),"Libya,2010,Female",77.3
Life expectancy at birth (years),"Libya,2000,Both sexes",74.4
Life expectancy at birth (years),"Libya,2000,Male",72.7
Life expectancy at birth (years),"Libya,2000,Female",76.28
Life expectancy at birth (years),"Lithuania,2015,Both sexes",74.38
Life expectancy at birth (years),"Lithuania,2015,Male",69.09
Life expectancy at birth (years),"Lithuania,2015,Female",79.47
Life expectancy at birth (years),"Lithuania,2010,Both sexes",73.14
Life expectancy at birth (years),"Lithuania,2010,Male",67.49
Life expectancy at birth (years),"Lithuania,2010,Female",78.67
Life expectancy at birth (years),"Lithuania,2000,Both sexes",72.04
Life expectancy at birth (years),"Lithuania,2000,Male",66.68
Life expectancy at birth (years),"Lithuania,2000,Female",77.23
Life expectancy at birth (years),"Luxembourg,2015,Both sexes",82.31
Life expectancy at birth (years),"Luxembourg,2015,Male",80.26
Life expectancy at birth (years),"Luxembourg,2015,Female",84.29
Life expectancy at birth (years),"Luxembourg,2010,Both sexes",80.94
Life expectancy at birth (years),"Luxembourg,2010,Male",78.61
Life expectancy at birth (years),"Luxembourg,2010,Female",83.1
Life expectancy at birth (years),"Luxembourg,2000,Both sexes",78.24
Life expectancy at birth (years),"Luxembourg,2000,Male",75.15
Life expectancy at birth (years),"Luxembourg,2000,Female",81.11
Life expectancy at birth (years),"Madagascar,2015,Both sexes",64.19
Life expectancy at birth (years),"Madagascar,2015,Male",62.87
Life expectancy at birth (years),"Madagascar,2015,Female",65.5
Life expectancy at birth (years),"Madagascar,2010,Both sexes",62.79
Life expectancy at birth (years),"Madagascar,2010,Male",61.43
Life expectancy at birth (years),"Madagascar,2010,Female",64.17
Life expectancy at birth (years),"Madagascar,2000,Both sexes",58.82
Life expectancy at birth (years),"Madagascar,2000,Male",57.54
Life expectancy at birth (years),"Madagascar,2000,Female",60.18
Life expectancy at birth (years),"Malawi,2015,Both sexes",63.04
Life expectancy at birth (years),"Malawi,2015,Male",59.67
Life expectancy at birth (years),"Malawi,2015,Female",66.47
Life expectancy at birth (years),"Malawi,2010,Both sexes",56.8
Life expectancy at birth (years),"Malawi,2010,Male",54.38
Life expectancy at birth (years),"Malawi,2010,Female",59.24
Life expectancy at birth (years),"Malawi,2000,Both sexes",44.73
Life expectancy at birth (years),"Malawi,2000,Male",43.96
Life expectancy at birth (years),"Malawi,2000,Female",45.59
Life expectancy at birth (years),"Malaysia,2015,Both sexes",74.95
Life expectancy at birth (years),"Malaysia,2015,Male",73.01
Life expectancy at birth (years),"Malaysia,2015,Female",77.13
Life expectancy at birth (years),"Malaysia,2010,Both sexes",74.25
Life expectancy at birth (years),"Malaysia,2010,Male",72.25
Life expectancy at birth (years),"Malaysia,2010,Female",76.52
Life expectancy at birth (years),"Malaysia,2000,Both sexes",72.8
Life expectancy at birth (years),"Malaysia,2000,Male",70.55
Life expectancy at birth (years),"Malaysia,2000,Female",75.31
Life expectancy at birth (years),"Maldives,2015,Both sexes",78.41
Life expectancy at birth (years),"Maldives,2015,Male",77.56
Life expectancy at birth (years),"Maldives,2015,Female",79.47
Life expectancy at birth (years),"Maldives,2010,Both sexes",76.99
Life expectancy at birth (years),"Maldives,2010,Male",76.02
Life expectancy at birth (years),"Maldives,2010,Female",78.17
Life expectancy at birth (years),"Maldives,2000,Both sexes",70.96
Life expectancy at birth (years),"Maldives,2000,Male",70.42
Life expectancy at birth (years),"Maldives,2000,Female",71.48
Life expectancy at birth (years),"Mali,2015,Both sexes",60.89
Life expectancy at birth (years),"Mali,2015,Male",60.36
Life expectancy at birth (years),"Mali,2015,Female",61.41
Life expectancy at birth (years),"Mali,2010,Both sexes",59.05
Life expectancy at birth (years),"Mali,2010,Male",58.59
Life expectancy at birth (years),"Mali,2010,Female",59.49
Life expectancy at birth (years),"Mali,2000,Both sexes",52.64
Life expectancy at birth (years),"Mali,2000,Male",52.61
Life expectancy at birth (years),"Mali,2000,Female",52.75
