Indicator_data,case_id,First Tooltip
Life expectancy at birth (years),"Bahrain,2000,Female",71.77
Life expectancy at birth (years),"Bangladesh,2015,Both sexes",73.58
Life expectancy at birth (years),"Bangladesh,2015,Male",72.5
Life expectancy at birth (years),"Bangladesh,2015,Female",74.79
Life expectancy at birth (years),"Bangladesh,2010,Both sexes",70.29
Life expectancy at birth (years),"Bangladesh,2010,Male",68.63
Life expectancy at birth (years),"Bangladesh,2010,Female",72.22
Life expectancy at birth (years),"Bangladesh,2000,Both sexes",65.59
Life expectancy at birth (years),"Bangladesh,2000,Male",64.07
Life expectancy at birth (years),"Bangladesh,2000,Female",67.36
Life expectancy at birth (years),"Barbados,2015,Both sexes",76.22
Life expectancy at birth (years),"Barbados,2015,Male",75.01
Life expectancy at birth (years),"Barbados,2015,Female",77.36
Life expectancy at birth (years),"Barbados,2010,Both sexes",75.88
Life expectancy at birth (years),"Barbados,2010,Male",74.46
Life expectancy at birth (years),"Barbados,2010,Female",77.2
Life expectancy at birth (years),"Barbados,2000,Both sexes",74.5
Life expectancy at birth (years),"Barbados,2000,Male",72.13
Life expectancy at birth (years),"Barbados,2000,Female",76.72
Life expectancy at birth (years),"Belarus,2015,Both sexes",73.82
Life expectancy at birth (years),"Belarus,2015,Male",68.56
Life expectancy at birth (years),"Belarus,2015,Female",78.79
Life expectancy at birth (years),"Belarus,2010,Both sexes",70.39
Life expectancy at birth (years),"Belarus,2010,Male",64.55
Life expectancy at birth (years),"Belarus,2010,Female",76.41
Life expectancy at birth (years),"Belarus,2000,Both sexes",68.85
Life expectancy at birth (years),"Belarus,2000,Male",63.28
Life expectancy at birth (years),"Belarus,2000,Female",74.61
Life expectancy at birth (years),"Belgium,2015,Both sexes",80.71
Life expectancy at birth (years),"Belgium,2015,Male",78.48
Life expectancy at birth (years),"Belgium,2015,Female",82.86
Life expectancy at birth (years),"Belgium,2010,Both sexes",79.85
Life expectancy at birth (years),"Belgium,2010,Male",77.24
Life expectancy at birth (years),"Belgium,2010,Female",82.38
Life expectancy at birth (years),"Belgium,2000,Both sexes",77.66
Life expectancy at birth (years),"Belgium,2000,Male",74.54
Life expectancy at birth (years),"Belgium,2000,Female",80.74
Life expectancy at birth (years),"Belize,2015,Both sexes",74.05
Life expectancy at birth (years),"Belize,2015,Male",71.14
Life expectancy at birth (years),"Belize,2015,Female",77.29
Life expectancy at birth (years),"Belize,2010,Both sexes",73.39
Life expectancy at birth (years),"Belize,2010,Male",70.89
Life expectancy at birth (years),"Belize,2010,Female",76.12
Life expectancy at birth (years),"Belize,2000,Both sexes",70.34
Life expectancy at birth (years),"Belize,2000,Male",67.18
Life expectancy at birth (years),"Belize,2000,Female",74.02
Life expectancy at birth (years),"Benin,2015,Both sexes",61.96
Life expectancy at birth (years),"Benin,2015,Male",59.66
Life expectancy at birth (years),"Benin,2015,Female",64.25
Life expectancy at birth (years),"Benin,2010,Both sexes",60.47
Life expectancy at birth (years),"Benin,2010,Male",58.03
Life expectancy at birth (years),"Benin,2010,Female",62.88
Life expectancy at birth (years),"Benin,2000,Both sexes",56.59
Life expectancy at birth (years),"Benin,2000,Male",54.31
Life expectancy at birth (years),"Benin,2000,Female",58.77
Life expectancy at birth (years),"Bhutan,2015,Both sexes",72.15
Life expectancy at birth (years),"Bhutan,2015,Male",71.05
Life expectancy at birth (years),"Bhutan,2015,Female",73.45
Life expectancy at birth (years),"Bhutan,2010,Both sexes",71.01
Life expectancy at birth (years),"Bhutan,2010,Male",69.87
Life expectancy at birth (years),"Bhutan,2010,Female",72.35
Life expectancy at birth (years),"Bhutan,2000,Both sexes",65.7
Life expectancy at birth (years),"Bhutan,2000,Male",64.88
Life expectancy at birth (years),"Bhutan,2000,Female",66.59
Life expectancy at birth (years),"Bolivia (Plurinational State of),2015,Both sexes",71.52
Life expectancy at birth (years),"Bolivia (Plurinational State of),2015,Male",70.59
Life expectancy at birth (years),"Bolivia (Plurinational State of),2015,Female",72.45
Life expectancy at birth (years),"Bolivia (Plurinational State of),2010,Both sexes",70.34
Life expectancy at birth (years),"Bolivia (Plurinational State of),2010,Male",69.44
Life expectancy at birth (years),"Bolivia (Plurinational State of),2010,Female",71.25
Life expectancy at birth (years),"Bolivia (Plurinational State of),2000,Both sexes",66.02
Life expectancy at birth (years),"Bolivia (Plurinational State of),2000,Male",64.81
Life expectancy at birth (years),"Bolivia (Plurinational State of),2000,Female",67.25
Life expectancy at birth (years),"Bosnia and Herzegovina,2015,Both sexes",76.32
Life expectancy at birth (years),"Bosnia and Herzegovina,2015,Male",73.94
Life expectancy at birth (years),"Bosnia and Herzegovina,2015,Female",78.65
Life expectancy at birth (years),"Bosnia and Herzegovina,2010,Both sexes",76.19
Life expectancy at birth (years),"Bosnia and Herzegovina,2010,Male",73.85
Life expectancy at birth (years),"Bosnia and Herzegovina,2010,Female",78.47
Life expectancy at birth (years),"Bosnia and Herzegovina,2000,Both sexes",75.42
Life expectancy at birth (years),"Bosnia and Herzegovina,2000,Male",72.6
Life expectancy at birth (years),"Bosnia and Herzegovina,2000,Female",78.03
Life expectancy at birth (years),"Botswana,2015,Both sexes",60.93
Life expectancy at birth (years),"Botswana,2015,Male",57.83
Life expectancy at birth (years),"Botswana,2015,Female",63.93
Life expectancy at birth (years),"Botswana,2010,Both sexes",58.14
Life expectancy at birth (years),"Botswana,2010,Male",55.14
Life expectancy at birth (years),"Botswana,2010,Female",61.36
Life expectancy at birth (years),"Botswana,2000,Both sexes",45.59
Life expectancy at birth (years),"Botswana,2000,Male",43.9
Life expectancy at birth (years),"Botswana,2000,Female",47.77
Life expectancy at birth (years),"Brazil,2015,Both sexes",75.13
Life expectancy at birth (years),"Brazil,2015,Male",71.67
Life expectancy at birth (years),"Brazil,2015,Female",78.64
Life expectancy at birth (years),"Brazil,2010,Both sexes",74.09
Life expectancy at birth (years),"Brazil,2010,Male",70.57
Life expectancy at birth (years),"Brazil,2010,Female",77.68
Life expectancy at birth (years),"Brazil,2000,Both sexes",71.47
Life expectancy at birth (years),"Brazil,2000,Male",67.9
Life expectancy at birth (years),"Brazil,2000,Female",75.18
Life expectancy at birth (years),"Brunei Darussalam,2015,Both sexes",74.4
Life expectancy at birth (years),"Brunei Darussalam,2015,Male",73.38
